bk,name,pct_chg,price,turnover,volume_ratio,total_mv,float_mv,amount,_fetched_at
BK0843,天然气,1.68,1720.05,0.67,0.89,5831873536000,3797503536000,35489287034.0,2026-08-17T23:41:54.393072+08:00
BK0552,机构重仓,1.67,17238.95,0.99,0.95,41197495552000,31624849408000,463690813305.0,2026-08-17T23:41:54.393072+08:00
BK0825,新零售,1.66,965.81,2.8,1.25,2220404256000,2073642464000,47212388002.0,2026-08-17T23:41:54.393072+08:00
BK1186,首发经济,1.66,1016.91,2.1,0.85,312053440000,280227472000,8520451230.0,2026-08-17T23:41:54.393072+08:00
BK0667,安防概念,1.66,3285.44,2.47,0.96,1781429472000,1642242544000,45353037556.0,2026-08-17T23:41:54.393072+08:00
BK0990,快递概念,1.65,1130.07,1.44,0.99,580361920000,504561456000,7787717534.0,2026-08-17T23:41:54.393072+08:00
BK0684,京津冀,1.63,1690.14,1.84,1.04,710401248000,610314336000,13231878322.0,2026-08-17T23:41:54.393072+08:00
BK1012,PVDF概念,1.62,1377.13,2.81,0.9,528284272000,506336944000,16502088034.0,2026-08-17T23:41:54.393072+08:00
BK1715,趋势股,1.61,831.58,2.6,0.8,7929940736000,5782479872000,129200418643.0,2026-08-17T23:41:54.393072+08:00
BK0554,物联网,1.61,16720.82,3.14,1.12,10713924864000,8006678784000,319092312260.0,2026-08-17T23:41:54.393072+08:00
BK0860,边缘计算,1.61,2162.88,2.11,1.07,3488678832000,3185021152000,97334753321.0,2026-08-17T23:41:54.393072+08:00
BK1115,跨境电商,1.6,1459.03,2.67,1.02,1561077248000,1289810224000,39584566999.0,2026-08-17T23:41:54.393072+08:00
BK0730,农药兽药,1.6,1190.59,2.3,1.27,289987056000,265968183000,5818879321.0,2026-08-17T23:41:54.393072+08:00
BK1192,雅下水电概念,1.6,1204.11,1.05,0.83,1783253248000,1472914704000,21767338753.0,2026-08-17T23:41:54.393072+08:00
BK1066,民爆概念,1.6,1536.99,0.83,0.76,359460400000,312702736000,6058846741.0,2026-08-17T23:41:54.393072+08:00
BK0945,装配建筑,1.58,1051.61,1.26,1.06,1198660512000,1037129568000,16112958385.0,2026-08-17T23:41:54.393072+08:00
BK1751,2026中报首亏,1.57,1041.22,2.45,0.92,2271691616000,1992996560000,60032628298.0,2026-08-17T23:41:54.393072+08:00
BK0679,超导概念,1.57,6571.6,1.97,0.98,571127408000,526520240000,29119314555.0,2026-08-17T23:41:54.393072+08:00
BK0834,乡村振兴,1.56,1527.76,2.38,1.17,3127798192000,2831376480000,37558811214.0,2026-08-17T23:41:54.393072+08:00
